,Function Name,Function ID,MPSO or MPSOCCDTime taken,Global best,Dimensions,Number of particles,Max Iterations,No Movement Termation,Tolerance,Upper Bound,Lower Bound,Optimum,Bias,Alpha,W,C1,C2,CCD alpha,CCD max iterations,CCD tolerance,CCD third term its
0,sphere,1,,"[-3.04121088e+00 -5.71147422e+00  2.81560382e-01  8.45325671e-01
  7.58504260e+00  8.66663616e-01 -3.72833157e+00  8.07372005e-01
  7.80641239e+00  5.81162488e+00 -3.95181846e-02  2.72765595e+00
 -1.01595307e+00  3.44733132e+00  1.51870469e+00 -1.51652242e+01
 -3.84434625e+00  6.75947492e-01  5.00487102e+00  4.02693074e+00
  9.48672954e+00 -3.73942334e+00 -1.18460171e+00  4.34586256e-01
  1.13851861e+01  1.30643488e-01 -9.01497785e+00 -7.81934093e-01
 -1.39737041e+00 -6.47328413e-01  8.38830240e+02]",30,50,100,20,1e-06,"[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.
 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.
 1000. 1000. 1000. 1000. 1000. 1000.]","[-1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000.
 -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000.
 -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000.]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]",0,0.9,0.8,0.4,0.4,0.2,20,1e-06,5
1,sphere,1,,"[-1.00142109e-11  1.00142109e-11  1.00142109e-11  1.00852651e-11
  1.00142109e-11 -1.00852651e-11  1.00852651e-11 -1.00142109e-11
  1.00142109e-11 -1.00142109e-11  1.00852651e-11 -1.00142109e-11
 -1.00142109e-11 -1.00142109e-11  1.00142109e-11  1.00142109e-11
  1.00852651e-11 -1.00142109e-11 -1.00852651e-11 -1.00142109e-11
  1.00852651e-11  1.00142109e-11  1.00142109e-11  1.01847411e-11
 -1.00142109e-11  1.00852651e-11 -1.00852651e-11 -1.00142109e-11
  1.01847411e-11  1.00142109e-11  3.02827502e-21]",30,50,100,20,1e-06,"[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.
 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.
 1000. 1000. 1000. 1000. 1000. 1000.]","[-1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000.
 -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000.
 -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000.]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]",0,0.9,0.8,0.4,0.4,0.2,20,1e-06,5
2,shiftedschwefel,2,,"[   417.68753984   -562.23256923   1000.           -947.51691149
   -904.05841001   -555.8817421    1000.           1000.
   -561.54774148   -902.54248469    723.34518064   -553.99111738
    430.1209507     425.53030634     68.55246557    713.81560235
   1000.             63.24489912   -901.87465842    419.32381322
   1000.           -119.88565041    417.44372201    715.68446247
   -308.09695726   -297.76647334    207.41988515   1000.
    713.60228919   -299.82596404 -12938.80976055]",30,50,100,20,1e-06,"[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.
 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.
 1000. 1000. 1000. 1000. 1000. 1000.]","[-1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000.
 -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000.
 -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000.]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]",0,0.9,0.8,0.4,0.4,0.2,20,1e-06,5
3,shiftedschwefel,2,,"[  -894.72140911  -1309.24808731    717.06596168  -1802.73020456
  -1802.73020456   -559.14862185    717.06596168    717.06596168
   1092.11534261  -1802.73020456    717.06596168  -1309.24808731
   -894.72140911   -894.72140911   -559.14862185    717.06596168
    717.06596168  -1309.24808731  -1802.73020456   -894.72140911
    717.06596168  -1309.24808731   -894.72140911    717.06596168
  -1802.73020456  -1802.73020456    203.81425684    717.06596168
    717.06596168  -1802.73020456 -31854.81122075]",30,50,100,20,1e-06,"[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.
 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.
 1000. 1000. 1000. 1000. 1000. 1000.]","[-1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000.
 -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000.
 -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000.]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]",0,0.9,0.8,0.4,0.4,0.2,20,1e-06,5
4,schwefel,4,,"[-8.88895779e+02 -3.05274578e+02  1.00000000e+03  4.25072931e+02
  1.00000000e+03  7.13479464e+02  7.20135172e+02  2.04212915e+02
  2.07027679e+02  7.19886008e+02 -5.63612524e+02 -6.90341486e+00
  4.22859056e+02  4.20663171e+02  7.13409946e+02 -8.98995850e+02
 -1.23677276e+02 -5.62993491e+02  7.19891062e+02  1.00000000e+03
  7.17474829e+02  1.00000000e+03  2.01658699e+02 -9.05093507e+02
  1.00000000e+03 -5.59356164e+02  7.23817434e+02  4.18075948e+02
  1.00000000e+03 -8.95230819e+02 -1.41382730e+04]",30,50,100,20,1e-06,"[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.
 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.
 1000. 1000. 1000. 1000. 1000. 1000.]","[-1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000.
 -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000.
 -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000.]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]",0,0.9,0.8,0.4,0.4,0.2,20,1e-06,5
5,schwefel,4,,"[ -1802.73020456  -1802.73020456    717.06596168   -894.72140911
    717.06596168    717.06596168    717.06596168    203.81424428
    203.81424428    717.06596168   5928.22858055  -1309.24808731
   -894.72140911   -894.72140911    717.06596168  -1802.73020456
  -1309.24808731   1092.11534261    717.06596168    717.06596168
    717.06596168    717.06596168  -1309.24808731  -1802.73020456
    717.06596168  -1309.24808731    717.06596168   -894.72140911
    717.06596168  -1802.73020456 -34519.59296802]",30,50,100,20,1e-06,"[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.
 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.
 1000. 1000. 1000. 1000. 1000. 1000.]","[-1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000.
 -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000.
 -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000.]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]",0,0.9,0.8,0.4,0.4,0.2,20,1e-06,5
6,schwefelgob,5,,"[ 497.94693346  492.60511309  498.95573502  660.1931117   499.95447246
  499.61683108 1000.          499.26116071  523.08806019 1000.
  525.39256027 1000.         1000.          633.01367355  499.42802273
 1000.          521.12249472  593.4428375   499.92475103  507.0002413
  501.02010596  471.18335037 -649.91536319  492.99481456  498.88791552
 1000.          499.14498199  499.01272617  498.22662912  529.13057146
 4699.13529044]",30,50,100,20,1e-06,"[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.
 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.
 1000. 1000. 1000. 1000. 1000. 1000.]","[-1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000.
 -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000.
 -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000.]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]",0,0.9,0.8,0.4,0.4,0.2,20,1e-06,5
7,schwefelgob,5,,"[5.00000014e+02 4.99999990e+02 4.99999983e+02 4.99999989e+02
 4.99999991e+02 4.99999991e+02 5.00000014e+02 5.00000014e+02
 5.00000011e+02 5.00000014e+02 4.99999991e+02 5.00000014e+02
 4.99999991e+02 4.99999989e+02 5.00000009e+02 4.99999991e+02
 5.00000011e+02 4.99999989e+02 4.99999991e+02 5.00000010e+02
 5.00000013e+02 5.00000017e+02 5.00000008e+02 4.99999990e+02
 4.99999991e+02 4.99999991e+02 5.00000009e+02 5.00000010e+02
 5.00000009e+02 4.99999991e+02 9.90842983e-02]",30,50,100,20,1e-06,"[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.
 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.
 1000. 1000. 1000. 1000. 1000. 1000.]","[-1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000.
 -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000.
 -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000.]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]",0,0.9,0.8,0.4,0.4,0.2,20,1e-06,5
8,rosenbrock,6,,"[-1.32902818e+01 -3.81022291e+00  1.16220963e+01  2.31491870e+00
  7.37724281e+00 -1.05189260e+01  6.61424473e+00  8.91273278e+00
 -1.32011097e+01  1.48697440e+01 -9.48946973e+00 -6.51045741e+00
  7.61571525e+00 -6.59987711e+00  9.84897662e+00 -1.56691229e+01
  3.52093680e+00 -1.58699193e+01 -1.34572711e+01 -1.80181804e+01
  4.80826897e+00 -9.63766457e+00  7.75111191e+00  8.21226452e+00
  5.56589652e+00 -1.07096752e+01 -1.29104697e+01  1.42497027e+01
  2.23524142e+01  4.79724976e+02  4.97319660e+07]",30,50,100,20,1e-06,"[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.
 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.
 1000. 1000. 1000. 1000. 1000. 1000.]","[-1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000.
 -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000.
 -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000.]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]",0,0.9,0.8,0.4,0.4,0.2,20,1e-06,5
9,rosenbrock,6,,"[-1.99328605e+00 -3.34905365e-03 -1.66988527e-03 -8.32636281e-04
 -4.15529838e-04 -2.08123386e-04 -1.05794456e-04 -5.68725811e-05
 -3.66827946e-05 -3.49392451e-05 -5.07569937e-05 -9.21446498e-05
 -1.79954183e-04 -3.58358773e-04 -7.17238380e-04 -1.43716198e-03
 -2.87957704e-03 -5.76622279e-03 -1.15306387e-02 -2.29924005e-02
 -4.55869378e-02 -8.93647517e-02 -1.71305867e-01 -3.14484585e-01
 -5.32942435e-01 -7.90202995e-01 -9.94684673e-01 -5.57598450e+00
  2.04457286e+01  4.58919280e+02  2.57490308e+03]",30,50,100,20,1e-06,"[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.
 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.
 1000. 1000. 1000. 1000. 1000. 1000.]","[-1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000.
 -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000.
 -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000.]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]",0,0.9,0.8,0.4,0.4,0.2,20,1e-06,5
10,rastrigin,9,,"[ 1.26596597e-01 -5.86320229e+00 -2.49926057e-02  3.11076536e+00
 -2.96440370e+00 -8.86073726e-04 -4.54108117e+00  1.16366824e+00
 -5.76315518e+00  1.01433807e+00 -9.42789389e-01  6.96507725e+00
  4.00916767e+00  1.98933678e+00  7.99341947e-01 -4.76254582e+00
 -2.98855999e+00 -5.82841238e+00 -4.04126792e+00 -4.92836059e+00
 -1.95386552e+00  1.94803327e+00 -6.01752288e+00 -2.96095595e+00
  2.04686283e+00  1.00462529e+00  3.04098468e+00  5.81517619e+00
  6.07606947e+00  2.93672090e+00 -2.79166562e+03]",30,50,100,20,1e-06,"[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.
 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.
 1000. 1000. 1000. 1000. 1000. 1000.]","[-1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000.
 -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000.
 -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000.]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]",0,0.9,0.8,0.4,0.4,0.2,20,1e-06,5
11,rastrigin,9,,"[-3.40787485e-12 -1.62838293e-08 -3.40787485e-12 -7.78696296e-09
 -1.62185245e-08 -3.52649428e-12 -7.10239590e-12 -6.84514931e-12
 -1.62836185e-08 -1.62838293e-08 -3.46385637e-12 -1.62836185e-08
 -1.62186816e-08 -3.09372955e-12 -6.84514931e-12 -7.16902801e-12
 -1.62836185e-08 -1.62838293e-08 -3.40787485e-12 -7.78696296e-09
 -3.09372955e-12 -3.52649428e-12 -1.62799474e-08 -9.73539921e-12
  3.32241618e-11 -1.62183404e-08  3.32241618e-11  3.31612149e-11
  3.32241618e-11 -1.62795509e-08 -3.30000000e+03]",30,50,100,20,1e-06,"[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.
 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.
 1000. 1000. 1000. 1000. 1000. 1000.]","[-1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000.
 -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000.
 -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000. -1000.]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]",0,0.9,0.8,0.4,0.4,0.2,20,1e-06,5
